timestamp,happy,sad,anger,fear,surprise,text,keystroke_type,key1,key2,time_ms
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,n, ,172.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,109.39999997615814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,n,e,193.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,67.30000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,e, ,46.20000001788139
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press, ,b,227.09999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press, ,b,159.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,73.10000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release, ,b,232.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,b,e,169.7000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,b,e,96.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,153.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,b,e,250.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,e,n,158
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,e,n,4.0999999940395355
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,89.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,e,n,93.89999997615814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,n, ,425.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,n, ,336
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,103.7000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,n, ,439.7000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press, ,e,318.60000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press, ,e,214.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,163.89999997615814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release, ,e,378.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,e,t,167.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,e,t,3.7000000178813934
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,69.40000000596046
